Date : 2025-05-04 23:17:36
Directory : c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith
Total : 306 files,  204434 codes, 10046 comments, 1853 blanks, all 216333 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\index9-WZXW7LLP.js                               | JavaScript         |        141 |          9 |          2 |        152 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\input-shims-FRI666MZ.js                          | JavaScript         |        352 |          9 |          2 |        363 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\ionicons.js                                      | JavaScript         |        115 |          3 |          3 |        121 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\ionicons_icons.js                                | JavaScript         |      2,715 |          2 |          2 |      2,719 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\ios.transition-5fe4d6c8-SBOZBRVN.js              | JavaScript         |         11 |          0 |          1 |         12 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\ios.transition-TUVPA3TO.js                       | JavaScript         |         14 |          0 |          1 |         15 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\keyboard2-66YWXDSS.js                            | JavaScript         |         29 |          0 |          1 |         30 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\md.transition-3d0d3730-LP2GODIM.js               | JavaScript         |          9 |          0 |          1 |         10 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\md.transition-FYSKTDYD.js                        | JavaScript         |         12 |          0 |          1 |         13 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\package.json                                     | JSON               |          3 |          0 |          1 |          4 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\rxjs.js                                          | JavaScript         |        352 |          0 |          1 |        353 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\shadow-css-KQBFNRGS.js                           | JavaScript         |        318 |         19 |          2 |        339 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\status-tap-VLRQFIAC.js                           | JavaScript         |         41 |          9 |          2 |         52 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\swipe-back-6GPTUUHU.js                           | JavaScript         |         68 |         13 |          2 |         83 |
