"filename", "language", "SCSS", "JSON", "TypeScript", "JavaScript", "XML", "Gradle", "HTML", "CSS", "Database", "comment", "blank", "total"
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\ios.transition-TUVPA3TO.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\keyboard2-66YWXDSS.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\md.transition-3d0d3730-LP2GODIM.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\md.transition-FYSKTDYD.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\package.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\rxjs.js", "JavaScript", 0, 0, 0, 352, 0, 0, 0, 0, 0, 0, 1, 353
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\shadow-css-KQBFNRGS.js", "JavaScript", 0, 0, 0, 318, 0, 0, 0, 0, 0, 19, 2, 339
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\status-tap-VLRQFIAC.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 9, 2, 52
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\swipe-back-6GPTUUHU.js", "JavaScript", 0, 0, 0, 68, 0, 0, 0, 0, 0, 13, 2, 83
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\web-65DVDEFM.js", "JavaScript", 0, 0, 0, 109, 0, 0, 0, 0, 0, 2, 2, 113
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\web-BPZ3SWZJ.js", "JavaScript", 0, 0, 0, 53, 0, 0, 0, 0, 0, 2, 2, 57
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps_ssr\_metadata.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps_ssr\package.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\.idea\compiler.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\.idea\deploymentTargetSelector.xml", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\.idea\migrations.xml", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\.idea\misc.xml", "XML", 0, 0, 0, 0, 611, 0, 0, 0, 0, 0, 0, 611
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\.idea\runConfigurations.xml", "XML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\app\capacitor.build.gradle", "Gradle", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\capacitor.settings.gradle", "Gradle", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
